atom,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,5f,6s,6p,6d,7s,7p
H,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
He,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Be,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ne,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Na,2,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg,2,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al,2,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Si,2,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,2,2,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,2,2,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cl,2,2,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ar,2,2,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,2,2,6,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ca,2,2,6,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Sc,2,2,6,2,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Ti,2,2,6,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0
V,2,2,6,2,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Cr,2,2,6,2,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Mn,2,2,6,2,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Fe,2,2,6,2,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0
Co,2,2,6,2,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0
Ni,2,2,6,2,6,8,2,0,0,0,0,0,0,0,0,0,0,0,0
Cu,2,2,6,2,6,10,1,0,0,0,0,0,0,0,0,0,0,0,0
Zn,2,2,6,2,6,10,2,0,0,0,0,0,0,0,0,0,0,0,0
Ga,2,2,6,2,6,10,2,1,0,0,0,0,0,0,0,0,0,0,0
Ge,2,2,6,2,6,10,2,2,0,0,0,0,0,0,0,0,0,0,0
As,2,2,6,2,6,10,2,3,0,0,0,0,0,0,0,0,0,0,0
Se,2,2,6,2,6,10,2,4,0,0,0,0,0,0,0,0,0,0,0
Br,2,2,6,2,6,10,2,5,0,0,0,0,0,0,0,0,0,0,0
Kr,2,2,6,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0
Rb,2,2,6,2,6,10,2,6,0,0,1,0,0,0,0,0,0,0,0
Sr,2,2,6,2,6,10,2,6,0,0,2,0,0,0,0,0,0,0,0
Y,2,2,6,2,6,10,2,6,1,0,2,0,0,0,0,0,0,0,0
Zr,2,2,6,2,6,10,2,6,2,0,2,0,0,0,0,0,0,0,0
Nb,2,2,6,2,6,10,2,6,4,0,1,0,0,0,0,0,0,0,0
Mo,2,2,6,2,6,10,2,6,5,0,1,0,0,0,0,0,0,0,0
Tc,2,2,6,2,6,10,2,6,5,0,2,0,0,0,0,0,0,0,0
Ru,2,2,6,2,6,10,2,6,7,0,1,0,0,0,0,0,0,0,0
Rh,2,2,6,2,6,10,2,6,8,0,1,0,0,0,0,0,0,0,0
Pd,2,2,6,2,6,10,2,6,10,0,0,0,0,0,0,0,0,0,0
Ag,2,2,6,2,6,10,2,6,10,0,1,0,0,0,0,0,0,0,0
Cd,2,2,6,2,6,10,2,6,10,0,2,0,0,0,0,0,0,0,0
In,2,2,6,2,6,10,2,6,10,0,2,1,0,0,0,0,0,0,0
Sn,2,2,6,2,6,10,2,6,10,0,2,2,0,0,0,0,0,0,0
Sb,2,2,6,2,6,10,2,6,10,0,2,3,0,0,0,0,0,0,0
Te,2,2,6,2,6,10,2,6,10,0,2,4,0,0,0,0,0,0,0
I,2,2,6,2,6,10,2,6,10,0,2,5,0,0,0,0,0,0,0
Xe,2,2,6,2,6,10,2,6,10,0,2,6,0,0,0,0,0,0,0
Cs,2,2,6,2,6,10,2,6,10,0,2,6,0,0,1,0,0,0,0
Ba,2,2,6,2,6,10,2,6,10,0,2,6,0,0,2,0,0,0,0
La,2,2,6,2,6,10,2,6,10,0,2,6,1,0,2,0,0,0,0
Ce,2,2,6,2,6,10,2,6,10,1,2,6,1,0,2,0,0,0,0
Pr,2,2,6,2,6,10,2,6,10,3,2,6,0,0,2,0,0,0,0
Nd,2,2,6,2,6,10,2,6,10,4,2,6,0,0,2,0,0,0,0
Pm,2,2,6,2,6,10,2,6,10,5,2,6,0,0,2,0,0,0,0
Sm,2,2,6,2,6,10,2,6,10,6,2,6,0,0,2,0,0,0,0
Eu,2,2,6,2,6,10,2,6,10,7,2,6,0,0,2,0,0,0,0
Gd,2,2,6,2,6,10,2,6,10,7,2,6,1,0,2,0,0,0,0
Tb,2,2,6,2,6,10,2,6,10,9,2,6,0,0,2,0,0,0,0
Dy,2,2,6,2,6,10,2,6,10,10,2,6,0,0,2,0,0,0,0
Ho,2,2,6,2,6,10,2,6,10,11,2,6,0,0,2,0,0,0,0
Er,2,2,6,2,6,10,2,6,10,12,2,6,0,0,2,0,0,0,0
Tm,2,2,6,2,6,10,2,6,10,13,2,6,0,0,2,0,0,0,0
Yb,2,2,6,2,6,10,2,6,10,14,2,6,0,0,2,0,0,0,0
Lu,2,2,6,2,6,10,2,6,10,14,2,6,1,0,2,0,0,0,0
Hf,2,2,6,2,6,10,2,6,10,14,2,6,2,0,2,0,0,0,0
Ta,2,2,6,2,6,10,2,6,10,14,2,6,3,0,2,0,0,0,0
W,2,2,6,2,6,10,2,6,10,14,2,6,4,0,2,0,0,0,0
Re,2,2,6,2,6,10,2,6,10,14,2,6,5,0,2,0,0,0,0
Os,2,2,6,2,6,10,2,6,10,14,2,6,6,0,2,0,0,0,0
Ir,2,2,6,2,6,10,2,6,10,14,2,6,7,0,2,0,0,0,0
Pt,2,2,6,2,6,10,2,6,10,14,2,6,9,0,1,0,0,0,0
Au,2,2,6,2,6,10,2,6,10,14,2,6,10,0,1,0,0,0,0
Hg,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,0,0,0,0
Tl,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,1,0,0,0
Pb,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,2,0,0,0
Bi,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,3,0,0,0
Po,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,4,0,0,0
At,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,5,0,0,0
Rn,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,6,0,0,0
Fr,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,6,0,1,0
Ra,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,6,0,2,0
Ac,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,6,1,2,0
Th,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,6,2,2,0
Pa,2,2,6,2,6,10,2,6,10,14,2,6,10,2,2,6,1,2,0
U,2,2,6,2,6,10,2,6,10,14,2,6,10,3,2,6,1,2,0
Np,2,2,6,2,6,10,2,6,10,14,2,6,10,4,2,6,1,2,0
Pu,2,2,6,2,6,10,2,6,10,14,2,6,10,6,2,6,0,2,0
Am,2,2,6,2,6,10,2,6,10,14,2,6,10,7,2,6,0,2,0
Cm,2,2,6,2,6,10,2,6,10,14,2,6,10,7,2,6,1,2,0
Bk,2,2,6,2,6,10,2,6,10,14,2,6,10,9,2,6,0,2,0
Cf,2,2,6,2,6,10,2,6,10,14,2,6,10,10,2,6,0,2,0
Es,2,2,6,2,6,10,2,6,10,14,2,6,10,11,2,6,0,2,0
Fm,2,2,6,2,6,10,2,6,10,14,2,6,10,12,2,6,0,2,0
Md,2,2,6,2,6,10,2,6,10,14,2,6,10,13,2,6,0,2,0
No,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,0,2,0
Lr,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,1,2,0
Rf,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,2,2,0
Db,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,3,2,0
Sg,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,4,2,0
Bh,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,5,2,0
Hs,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,6,2,0
Mt,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,7,2,0
Ds,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,9,1,0
Rg,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,10,1,0
Cn,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,10,2,0
Nh,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,10,2,1
Fl,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,10,2,2
Mc,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,10,2,3
Lv,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,10,2,4
Ts,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,10,2,5
Og,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,10,2,6
