cluster,FEPA
C1,0.0000
C1-,0.0000
C1+,0.0000
N1,0.0000
N1-,0.0000
N1+,0.0000
O1,0.0000
O1-,0.0000
S1,0.0000
S1+,0.0000
Ag1C1,-0.9156
Ag1C1-,-1.2263
Ag1C1+,-0.6474
Ag1N1,-0.7226
Ag1N1-,-0.6241
Ag1N1+,-0.2646
Ag1O1,-1.0477
Ag1O1-,-1.2541
Ag1O1+,-0.3850
Ag1-,0.0000
Ag1+,0.0000
Ag1S1,-1.1521
Ag1S1-,-1.2180
Ag1S1+,-0.8164
Au1C1,-1.5645
Au1C1-,-1.4126
Au1C1+,-1.7913
Au1N1,-1.0740
Au1N1-,-0.6316
Au1N1+,-0.7315
Au1O1,-1.1725
Au1O1-,-1.1963
Au1O1+,-0.9380
Au1,0.0000
Au1-,0.0000
Au1+,0.0000
Au1S1,-1.3026
Au1S1-,-1.4390
Au1S1+,-1.5436
Cd1C1,-0.5560
Cd1C1-,-0.5891
Cd1N1,-0.1299
Cd1N1-,-0.8200
Cd1N1+,-0.4957
Cd1O1,-0.5206
Cd1O1-,-1.0173
Cd1O1+,-0.6285
Cd1,0.0000
Cd1+,0.0000
Cd1S1,-0.5384
Cd1S1-,-0.7384
Cd1S1+,-0.8785
Co1C1,-2.5096
Co1C1-,-2.3265
Co1C1+,-2.0310
Co1N1+,-1.0991
Co1O1,-2.6717
Co1O1-,-2.6489
Co1O1+,-1.8795
Co1,0.0000
Co1-,0.0000
Co1+,0.0000
Co1S1,-2.3984
Co1S1-,-1.9822
Cr1C1,-1.6988
Cr1C1-,-1.6647
Cr1C1+,-1.3598
Cr1N1,-2.0115
Cr1N1-,-2.5509
Cr1N1+,-1.7656
Cr1O1-,-2.2141
Cr1O1+,-1.8564
Cr1,0.0000
Cr1-,0.0000
Cr1+,0.0000
Cr1S1,-1.7182
Cr1S1-,-1.4049
Cr1S1+,-1.4481
Cu1C1+,-1.0117
Cu1N1,-1.1670
Cu1N1-,-1.0834
Cu1N1+,-0.5950
Cu1O1,-1.5525
Cu1O1-,-1.6223
Cu1O1+,-0.8909
Cu1,0.0000
Cu1-,0.0000
Cu1+,0.0000
Cu1S1,-1.5313
Cu1S1-,-1.4019
Cu1S1+,-1.2089
Fe1C1,-2.3332
Fe1C1+,-2.4957
Fe1N1,-1.7194
Fe1N1-,-2.3632
Fe1N1+,-1.7049
Fe1O1,-2.5008
Fe1O1-,-2.4517
Fe1O1+,-2.1791
Fe1,0.0000
Fe1+,0.0000
Fe1S1,-1.9939
Fe1S1-,-1.6438
Fe1S1+,-1.9842
Hf1C1,-2.3215
Hf1C1-,-2.5423
Hf1C1+,-2.0670
Hf1N1,-2.8786
Hf1N1-,-3.9148
Hf1N1+,-2.4793
Hf1O1,-4.2045
Hf1O1-,-4.0257
Hf1O1+,-3.7132
Hf1,0.0000
Hf1-,0.0000
Hf1+,0.0000
Hf1S1,-3.0529
Hf1S1-,-2.6660
Hg1C1,-0.4339
Hg1C1-,-0.4807
Hg1C1+,-1.1366
Hg1N1,-0.0138
Hg1N1-,-0.6860
Hg1N1+,-0.6555
Hg1O1,-0.2380
Hg1O1-,-0.8123
Hg1,0.0000
Hg1-,0.0000
Hg1+,0.0000
Hg1S1,-0.2149
Hg1S1-,-0.5267
Hg1S1+,-1.0175
Ir1C1,-3.4366
Ir1C1-,-3.6789
Ir1N1,-2.7569
Ir1N1-,-2.6130
Ir1N1+,-2.5852
Ir1O1,-2.5163
Ir1O1-,-2.7543
Ir1O1+,-2.3015
Ir1,0.0000
Ir1-,0.0000
Ir1+,0.0000
Ir1S1,-2.2504
Ir1S1-,-2.2100
Ir1S1+,-2.2612
La1C1,-2.2074
La1C1-,-1.9745
La1C1+,-2.0472
La1N1,-2.5615
La1N1-,-2.6635
La1N1+,-2.2380
La1O1,-3.6691
La1O1-,-3.7088
La1O1+,-3.7584
La1,0.0000
La1-,0.0000
La1+,0.0000
La1S1,-2.8586
La1S1-,-2.5532
La1S1+,-2.8329
Mn1C1,-2.1267
Mn1C1-,-1.8981
Mn1C1+,-1.8744
Mn1N1,-1.5926
Mn1N1-,-2.1829
Mn1N1+,-1.2741
Mn1O1,-2.4337
Mn1O1-,-2.3233
Mn1O1+,-1.5883
Mn1,0.0000
Mn1-,0.0000
Mn1S1,-1.9311
Mn1S1-,-1.5213
Mn1S1+,-1.3867
Mo1C1,-2.4526
Mo1C1-,-2.5952
Mo1C1+,-2.2746
Mo1N1,-2.7887
Mo1N1-,-3.1072
Mo1N1+,-2.6675
Mo1O1,-2.7862
Mo1O1-,-2.7966
Mo1O1+,-2.7472
Mo1,0.0000
Mo1-,0.0000
Mo1+,0.0000
Mo1S1-,-1.8069
Mo1S1+,-2.0498
Nb1C1,-2.6666
Nb1C1-,-2.7619
Nb1C1+,-2.5721
Nb1N1,-3.1913
Nb1N1-,-3.5348
Nb1N1+,-3.0859
Nb1O1,-3.8911
Nb1O1-,-3.8888
Nb1O1+,-3.6823
Nb1,0.0000
Nb1-,0.0000
Nb1+,0.0000
Nb1S1-,-2.3990
Nb1S1+,-2.5300
Ni1C1,-2.1763
Ni1C1-,-1.9226
Ni1C1+,-1.9920
Ni1N1,-1.5588
Ni1N1-,-2.1138
Ni1O1,-2.2538
Ni1O1-,-2.1413
Ni1O1+,-1.6239
Ni1,0.0000
Ni1-,0.0000
Ni1+,0.0000
Ni1S1,-2.0211
Ni1S1+,-1.5507
Os1C1,-3.4300
Os1C1-,-3.7323
Os1C1+,-3.1758
Os1N1,-2.9711
Os1N1-,-3.2553
Os1N1+,-2.7428
Os1O1,-2.7473
Os1O1-,-3.2368
Os1O1+,-2.4091
Os1,0.0000
Os1-,0.0000
Os1S1,-2.2236
Os1S1-,-2.2631
Os1S1+,-2.1687
Pd1C1,-1.9732
Pd1C1-,-2.0438
Pd1C1+,-2.1088
Pd1N1-,-1.8343
Pd1N1+,-1.0380
Pd1O1,-1.5773
