cluster,FEPA
Cd1Fe3C3,-3.5351
Pd2Ru1S3,-3.1478
Nb1Cu2C1,-2.7772
Mn1Os3+,-3.2102
La1Pd1Ru1S1C2+,-4.1633
Os1Hf2Nb1O3N1+,-5.7987
W1Hf1La1Ti1S1O1N1C1+,-5.2549
Ta1Nb1C2,-4.7493
Ta1Cd1S1-,-1.9312
Pd1Nb1O1+,-3.4196
W2S2+,-3.9776
Hg1Mn1S1N1,-1.9919
Au1Cu1S1+,-1.8561
Y2Ni1C1,-3.1837
W1Ag1O1C1+,-3.7238
W1Nb1N1+,-3.7087
Hg1Re1O1C1-,-3.2938
Ru1Ni1Mn1O2C1,-4.0079
Ag1Pd1Ru1Nb1O1N3+,-4.1163
Ni1Ag1+,-1.2345
Zn1Fe1S1-,-1.4049
Mo2V1N2,-3.6754
Cu1Co1S1O1,-3.068
Tc1Zr1Y1Ti1S1C2-,-4.6435
Cd3Ti1O1C2-,-3.1054
Ag3O1C2+,-3.5637
W2Hf2S1,-4.067
Ag1Nb1C1,-2.5411
Y2W1+,-2.2651
Cd1Mo2Mn1S2O2+,-3.8295
Mo1Cr1S1N1-,-2.9864
Re1Fe1N1C1-,-3.673
Ir1Re1Pd1S1O1C1,-4.1077
Cr1Ag3+,-1.368
Cd1Ni1S1O1,-2.2565
Zn1Cu2O2,-2.313
Ag1Sc1S1N1-,-2.6829
W1V1S1O1,-3.983
Os1Cd1Pd1O2N1,-3.4174
Re1Fe1S1N1-,-3.2875
La1Co1O1-,-3.3754
Y1Sc1S1O1,-4.2489
La1Co1S1O1-,-3.8519
Os1Mn1S1N1+,-3.282
Zn1Tc1-,-0.4141
Nb2Zn2S1C1+,-3.3684
Ir1Hf3O3C1+,-6.0279
Zn1Re1,-0.1327
Os1Zr1S1O1+,-4.1967
Sc3S2O1+,-4.5099
W1La1Mn1V1O2N1C1+,-4.8448
Rh1Zr1Zn1S1O1N1-,-3.812
Zn1Ti1S1O1-,-3.164
Tc1Mo1C1-,-3.1255
Y1Zn1C1,-1.7955
Ag1Y1S1O1-,-3.252
Mo3N1+,-3.5838
Hg1Ru1O1+,-1.8353
Re1Zn2S2,-2.2629
Cd1Y2Ti1S3C1+,-4.2092
La1Fe1N1C1-,-3.7972
Mo3O1N2,-4.0081
Pt1Cr1O1N1+,-2.9546
Ir1Pd1Ni1Fe1O1N2-,-3.7703
Zn3C2+,-2.8354
Au1Pt2N1,-2.5952
W2Hf1Fe1O2C2,-5.2125
Rh1Ti1S2-,-3.5989
Re1V1O1-,-3.1455
Hf1V2O1C2+,-4.858
Ir1Cu1O2+,-3.2273
Cu1Ni1Fe1O1,-2.5734
Ir1Mo1S1C1+,-3.6252
Au2C1-,-1.9754
Hf1Ru1S1C1+,-4.0752
Zr1Ti1S1N1,-4.1991
Ni1Fe1S1+,-2.7082
Co2Nb1,-2.4775
Mo1Sc1O2-,-4.0762
Rh1Zn3N1,-1.3611
Co1Pd1+,-1.3707
Ru1Ti1S1N1+,-3.4731
Pd2La1,-2.332
Zn1Fe1O1N1,-2.4712
La3S3+,-4.3708
Hf1Zn1S1N1-,-2.9655
Ir1Os1S1O1,-3.7225
Sc1Hg1-,-0.8713
Pd3S2O1,-2.6958
Ag1Pd1N1C1+,-3.5354
Hf1Tc1S1-,-3.0794
Mn2S1O1,-2.1962
Ir2Ta2O2,-5.3404
Cd1Ru2S1,-2.1055
Hg1Hf1La1Zn1N1-,-2.5352
Cu1Cr1N2-,-2.9438
Au1Mn1N1-,-1.8163
Hg1Rh1Mo1S1N1C1-,-3.4896
Os1Ti1S2+,-3.5785
Zr1V1C1+,-3.5315
Au1Y1O2+,-3.2475
Ta1Ti2N1,-3.536
Rh1Ni2O2,-3.1868
Re1Tc1O1-,-3.3253
Hg1Nb1S1N1+,-2.7663
Pd1Zr1O1-,-3.9569
V3N1C1,-3.9101
Os1Cd1Pd1Fe1O2N2-,-3.7833
Pd1Tc1O1C1,-3.8384
Cu1Ta1-,-1.0855
Ag1N1,-0.7226
Ni1Co1O1C1-,-3.8855
Mn1Pt1,-1.7935
Y1Re1-,-1.8823
Pd2Cu1O1N1C1,-3.5346
Re1V1Ti2S4-,-4.5286
Ti1Sc1S1O1,-4.1609
Cd2N2,-2.4061
Re2Nb1Ni1O1N3,-4.7312
Os1Hf1Nb1Zr1O3C1+,-5.8949
Os1Zr2N1,-4.6453
Co1V1Ti1S2-,-3.5535
Mo2Os1-,-2.4407
Ta3V1S2,-4.3943
Ru1Mo1S1O1-,-3.6356
Re1Tc1S1N1+,-3.4196
Hf1Cr1S1O1-,-3.723
Zr1Ni1N1-,-3.2789
Ru1Ni1S1C1-,-3.4887
Re1Ta1V1S1C2,-4.7338
Ta1Ru2S3-,-4.2049
Hg1Ir1V1O1+,-2.6501
Ta1Re1-,-2.5863
Re1Cr1S1C1,-3.2951
W1Zn1Ni1Ti1S1O1+,-3.5606
Hf1Mn1C1,-2.8061
W1Zn1Ni1O1C1,-3.4218
Pt1La1C1,-3.272
Hf1Cu1C1-,-2.6815
Os1Ru1Tc2C4-,-5.0186
Ir1Mn2Cr1N1,-2.7231
Zn3S2O1,-2.3797
Ir2Mo1O1N2,-4.1483
Mn2Ti1C2,-3.4654
Au1Re1W1Nb1S2O1C1-,-4.691
Hg1Y1Fe2N3C1-,-3.8642
Ir2Co1O2,-3.7683
Ni1Rh2-,-1.9676
Cu2Mn1S1,-2.2169
Ag1Ru1O1+,-2.3348
Ir3O1C2+,-4.9972
W1Hf1Y1S1O1+,-4.523
Cu3N2C1+,-3.4273
Rh1Ti2N2,-4.2079
Cd1Cr1O1+,-1.7999
Pd1Sc1S1O1-,-3.5963
Hf1Ru1Ti1N2,-4.4421
Os1Cu2C1,-2.9676
W1Tc1Zn1Sc1S1C1+,-3.7203
Mn1Ni2+,-2.0822
Re1Pd1Mo1Ti1O1C2,-4.618
W1S1,-2.3126
Zr2Co1C1,-3.9653
Re1La1Cr1O1N1-,-3.7952
Zn1Co1C2-,-3.3116
Cd3O1C1-,-2.0874
Pt1Re1Nb1Cr1O1N1,-4.1148
Os1Ti3S2N1+,-4.6819
Pt2S2+,-3.2187
Zn1Ni1Sc1C2,-3.4416
Re1Ni1C2-,-4.0972
Ta1Pd1S1C1,-3.5424
Ag1Zr1O1C1,-3.6469
La2O1N1,-4.3647
W1Fe1S2-,-3.3672
Ta1Ag1Fe1O1N1C1+,-4.3866
Mo2C1,-2.9921
Y1Zn1S1N1+,-2.5791
Ta1Pd1Mo1Sc1O3N1+,-5.0268
Ag1Fe1Cr1O2,-3.0725
La1Sc1O1+,-3.6893
Os1W1S1N1,-3.7334
La1Ni1S1N1+,-3.3024
Sc3+,-1.6551
Zr1Ti1S2,-4.0182
Zn1Mn1S1,-1.5043
W1Ag1Rh2O2N1+,-4.1156
Ta1Cd1Zn1S2+,-2.7725
Ni1Mn1O1C1-,-3.5192
La1Mo3O4+,-4.9157
Y1Mo1-,-1.2566
Mo2Tc1,-2.1419
Os1Pd1Y1S1O1N1-,-4.1464
W1Pd1Mo1O1C2,-4.5141
Ru1Y1C1+,-3.5042
Hg1Ag1Ti1O2N1,-3.0903
Mo1Sc1N1C1-,-3.9447
Mo1Nb1Y1S1C1-,-3.9675
Zn1Sc1S1O1-,-3.0707
Tc1Mo1S1C1+,-3.6274
Hf1Ru1Mo1S1N1C1,-4.4552
Pt1Ir1Pd1C2,-3.9831
Y3N1+,-3.5109
Pt1Os1La1Fe1O3N1-,-4.6334
Pt1Re1Mo1Nb1O1C1,-4.4666
Cd1V1S1O1-,-3.0045
Hg1Os1O2,-3.1409
Ag1Sc1O2,-3.5215
Ir1V2O2,-4.4328
Hg1Ir1N2-,-2.9494
Rh1Zn1S1O1,-2.4275
Y2Sc1N1-,-3.4544
Hg1W1S1,-1.7184
La1Zr1C2-,-4.1674
Rh1Mn1O2+,-2.9603
La3S2+,-3.9939
Ir1Zn1N1+,-2.578
W2Ti1C1,-3.8083
Au1W1Mn2S2+,-3.2394
Pt1Cd1O2,-2.4193
La3S1N1C1,-4.309
Hg1N1+,-0.6555
Os1La1N2,-3.9528
Cd1Ni1S1N1,-2.1007
Ta1Tc1Nb1Zr1O4+,-5.8567
Au1Ta1O1C1-,-3.8553
Ta1Mo1C1+,-3.6015
Tc1Zr1O1N1,-4.2729
Ir1Re1O2-,-4.5195
Ag2Ti1O1,-2.6993
Cr3C1+,-2.4262
Nb1Fe1Cr1O2N1+,-4.3578
Pd1Tc1V2S1O2,-4.2868
V1Ti1S1,-2.9169
Cd1Fe1S1C1+,-3.0307
W2S1C1,-3.9653
Hf1Mo1C1+,-3.3883
W1Nb2O1,-4.1949
Ta2Zn1O1,-3.2031
Ir1Nb1O1N1+,-4.1308
Cu1Os1+,-1.4871
Ir1Ti1C2+,-4.4536
Au1Cd1Rh1Tc1C2+,-3.4083
W1Y2C1,-3.4169
Re1W1Ag1Pd1N3,-3.7302
Hg1Mo1N1C1-,-3.114
Pt2Zr2O1+,-5.002
Au1Ir1O1,-2.4885
Ti1V1-,-1.6624
Fe1Cu1,-0.8554
Hg1Ru1S2-,-2.3442
Ta2Mn1C2,-4.4472
Au1Cu1S1C1+,-2.8765
Hg1Ru1S1C1-,-2.7635
Ag1Rh1N1-,-2.0914
Pd1Zn1S1N1-,-1.9046
Cd1Tc1C2-,-3.2899
Mo1Ni1O2+,-3.7449
Pt1Pd1Tc1O1N1+,-3.4008
Mn1Tc1,-0.7581
Ru1Mn1O1C1-,-3.7989
W1Ta2Hf1O2C2+,-5.8317
Au1Co1S1,-2.3305
Au1Ag1Co1N1C2-,-3.7643
Ir1Ta1Cu1V1S1C2,-4.5701
Au1Mo2S2+,-3.2385
Hg1W1S1N1,-2.8339
Ir1Cu1V1O1,-3.339
Mo4S1+,-3.399
Ta1Zr3O1C3+,-6.0293
Sc3,-1.1935
Y1Ni2C2,-3.9826
Au1V3O1-,-3.1169
Co1Cr2S1,-2.2321
Re1Ru1C1-,-3.1976
Tc2Co1S1,-3.0713
Os2Ti1O2,-4.459
Ta1Rh1Zr1O2-,-5.1238
Cd1Tc1O1-,-2.1873
Mn1V1S1C1+,-3.31
Pt3Cr1O2-,-3.6889
Ir1La1S1C1-,-3.951
Ta1Pd1Co1S1O1N1+,-4.1978
Ir1Ta2La1O4-,-5.8834
Y1Co1C2+,-4.3175
Ag1Pd1Ru1S1C2,-3.526
Ta1Sc3S1N2+,-4.7488
Hf1Zr1S1C1-,-4.2169
Re1Ag1Y1Zn1S1O1C1,-3.7091
