cluster,AEPA
C1,0.0000
C1+,0.0000
C1-,0.0000
N1,0.0000
N1+,0.0000
N1-,0.0000
O1,0.0000
O1+,0.0000
O1-,0.0000
S1,0.0000
S1+,0.0000
S1-,0.0000
Sc1,0.0000
Sc1+,0.0000
Sc1-,0.0000
Ti1,0.0000
Ti1+,0.0000
Ti1-,0.0000
V1,0.0000
V1+,0.0000
V1-,0.0000
Cr1,0.0000
Cr1+,0.0000
Cr1-,0.0000
Mn1,0.0000
Mn1+,0.0000
Mn1-,0.0000
Fe1,0.0000
Fe1+,0.0000
Fe1-,0.0000
Co1,0.0000
Co1+,0.0000
Co1-,0.0000
Ni1,0.0000
Ni1+,0.0000
Ni1-,0.0000
Cu1,0.0000
Cu1+,0.0000
Cu1-,0.0000
Zn1,0.0000
Zn1+,0.0000
Zn1-,0.0000
Y1,0.0000
Y1+,0.0000
Y1-,0.0000
Zr1,0.0000
Zr1+,0.0000
Zr1-,0.0000
Nb1,0.0000
Nb1+,0.0000
Nb1-,0.0000
Mo1,0.0000
Mo1+,0.0000
Mo1-,0.0000
Tc1,0.0000
Tc1+,0.0000
Tc1-,0.0000
Ru1,0.0000
Ru1+,0.0000
Ru1-,0.0000
Rh1,0.0000
Rh1+,0.0000
Rh1-,0.0000
Pd1,0.0000
Pd1+,0.0000
Pd1-,0.0000
Ag1,0.0000
Ag1+,0.0000
Ag1-,0.0000
Cd1,0.0000
Cd1+,0.0000
Cd1-,0.0000
La1,0.0000
La1+,0.0000
La1-,0.0000
Hf1,0.0000
Hf1+,0.0000
Hf1-,0.0000
Ta1,0.0000
Ta1+,0.0000
Ta1-,0.0000
W1,0.0000
W1+,0.0000
W1-,0.0000
Re1,0.0000
Re1+,0.0000
Re1-,0.0000
Os1,0.0000
Os1+,0.0000
Os1-,0.0000
Ir1,0.0000
Ir1+,0.0000
Ir1-,0.0000
Pt1,0.0000
Pt1+,0.0000
Pt1-,0.0000
Au1,0.0000
Au1+,0.0000
Au1-,0.0000
Hg1,0.0000
Hg1+,0.0000
Hg1-,0.0000
Cu1S1+,1.2089
Hf1S1-,2.6106
V1N1,2.6936
Ag1C1,0.9179
Au1N1-,0.6316
Au1S1,1.3026
Hf1S1+,2.6938
V1O1,3.4526
Cd1N1-,0.5569
Cd1O1+,0.6285
Cd1S1+,0.8784
Cu1C1,1.3466
Ir1N1+,2.5852
Hg1N1,0.0138
V1C1-,2.1287
V1C1,2.2494
V1S1,2.4986
Hg1C1+,1.1366
W1C1,2.5485
Ag1O1-,1.2541
Ag1O1+,0.3850
Ag1S1+,0.8164
Co1S1,2.0397
Fe1N1,1.7194
Ir1O1,2.5163
Au1O1-,1.1963
Au1O1+,0.9380
Cd1N1+,0.4957
Hg1C1,0.4339
W1N1,3.1177
Co1N1-,2.1726
Cu1N1-,1.0834
Fe1S1+,1.7852
La1N1-,2.6608
Ag1C1-,1.2263
Co1S1-,1.6235
Fe1N1-,2.1001
Ir1O1-,2.7543
Au1C1,1.5645
Co1S1+,1.7340
Fe1N1+,1.5059
Ir1O1+,2.3015
Au1N1+,0.7314
Au1S1-,1.4390
Au1S1+,1.5436
Cd1C1+,0.7827
Hg1C1-,0.4807
W1O1,3.4138
Co1C1-,1.9678
Cr1O1,2.3570
Cu1N1+,0.5950
Hf1N1,2.8232
La1N1+,2.2373
Ag1C1+,0.6474
Co1C1,2.1509
Co1N1+,1.0991
Cu1S1,1.5312
Hf1N1-,3.6202
La1O1,3.6664
Au1C1-,1.4126
Hg1O1-,0.8122
W1S1,2.3126
Hg1N1-,0.4229
Hg1N1+,0.6555
Ir1S1,2.2503
Cd1S1-,0.7384
Hg1O1+,0.5941
Y1C1,1.8734
Cu1S1-,1.4019
Hf1N1+,2.4793
La1O1-,3.7060
Ag1N1,0.7226
Hg1S1-,0.5267
Y1N1,2.2063
Ag1S1,1.1521
Ag1S1-,1.2180
Cu1O1,1.5525
Fe1O1,2.5008
Ir1S1-,2.2100
Au1O1,1.1725
Hg1O1,0.2380
Y1O1,3.6610
Cd1C1,0.5560
Hg1S1+,1.0174
Y1S1,2.7873
Cd1S1,0.5384
Cr1C1+,1.3598
Cr1O1-,2.2141
Ir1S1+,2.2612
Ag1N1-,0.6241
Co1C1+,2.0310
Co1O1,2.3130
Cu1O1+,0.8909
Hf1O1,4.1491
La1O1+,3.7577
Au1C1+,1.7913
Cr1N1,2.0115
Cr1O1+,1.8564
Fe1C1-,2.1619
Hf1O1-,3.9703
La1S1,2.8559
Cd1O1-,1.0173
Ir1C1,3.4366
Co1N1,1.6774
Co1O1-,2.2901
Fe1C1,2.3332
Hg1S1,0.2399
Ag1N1+,0.2646
Cr1N1-,2.2586
Cr1S1,1.7182
Fe1C1+,2.2967
Hf1O1+,3.7132
La1S1-,2.5505
Cd1C1-,0.5891
Cd1N1,0.1299
Cd1O1,0.5206
Ir1C1-,3.6789
Co1O1+,1.8795
Hf1C1+,2.0670
Ir1C1+,3.4367
Ag1O1,1.0477
Cu1C1-,1.4420
Fe1O1-,2.4517
La1C1,2.2047
Au1N1,1.0740
Cr1C1,1.6988
Cu1C1+,1.0117
Fe1O1+,1.9801
La1C1-,1.9717
Cr1N1+,1.7656
Cr1S1-,1.4049
Hf1C1-,2.4869
Hf1S1,2.9974
La1S1+,2.8322
Cr1C1-,1.6647
Ir1N1,2.7569
Cu1O1-,1.6222
Fe1S1,1.9939
La1C1+,2.0465
Cu1N1,1.1670
Fe1S1-,1.6438
La1N1,2.5588
Cr1S1+,1.4481
Hf1C1,2.2819
Ir1N1-,2.6130
Os1N1-,3.1574
Pt1C1-,2.7876
Re1C1+,2.4339
Sc1N1-,2.5866
Ta1O1-,4.0875
Mn1C1,2.1270
Nb1S1-,2.3894
Pt1C1+,3.2040
Re1N1,2.7712
Sc1N1+,1.9846
Ta1O1+,3.7909
Mn1C1-,1.8984
Nb1S1+,2.5299
Pd1N1-,1.8343
