cluster,EZPE
C1,-37.864309
C1+,-37.443586
C1-,-37.905792
N1,-54.61293
N1+,-54.074128
N1-,-54.593593
O1,-75.103605
O1+,-74.590143
O1-,-75.135167
S1,-398.132818
S1+,-397.750369
S1-,-398.198254
Sc1,-760.62749
Sc1+,-760.404319
Sc1-,-760.615186
Ti1,-849.365072
Ti1+,-849.139503
Ti1-,-849.365362
V1,-943.919671
V1+,-943.683867
V1-,-943.919413
Cr1,-1044.459073
Cr1+,-1044.201396
Cr1-,-1044.461221
Mn1,-1150.98938
Mn1+,-1150.731885
Mn1-,-1150.938322
Fe1,-1263.684633
Fe1+,-1263.408432
Fe1-,-1263.67329
Co1,-1382.747691
Co1+,-1382.470368
Co1-,-1382.7445
Ni1,-1508.295191
Ni1+,-1508.012528
Ni1-,-1508.294454
Cu1,-1640.50647
Cu1+,-1640.22272
Cu1-,-1640.530898
Zn1,-1779.393534
Zn1+,-1779.061642
Zn1-,-1779.247339
Y1,-38.210154
Y1+,-37.984885
Y1-,-38.211051
Zr1,-46.886586
Zr1+,-46.652194
Zr1-,-46.903831
Nb1,-56.814042
Nb1+,-56.558569
Nb1-,-56.828234
Mo1,-68.091861
Mo1+,-67.821582
Mo1-,-68.09951
Tc1,-80.682707
Tc1+,-80.427053
Tc1-,-80.693034
Ru1,-94.778928
Ru1+,-94.499251
Ru1-,-94.798711
Rh1,-110.453596
Rh1+,-110.171504
Rh1-,-110.482594
Pd1,-127.815795
Pd1+,-127.507836
Pd1-,-127.832939
Ag1,-146.912391
Ag1+,-146.627204
Ag1-,-146.950167
Cd1,-167.709549
Cd1+,-167.382719
Cd1-,-167.668645
La1,-31.481004
La1+,-31.279476
La1-,-31.496066
Hf1,-47.855221
Hf1+,-47.609482
Hf1-,-47.84704
Ta1,-56.832611
Ta1+,-56.572183
Ta1-,-56.843825
W1,-66.937171
W1+,-66.640818
W1-,-66.959933
Re1,-78.164561
Re1+,-77.893013
Re1-,-78.155925
Os1,-90.544875
Os1+,-90.246945
Os1-,-90.581452
Ir1,-104.222787
Ir1+,-103.900182
Ir1-,-104.278652
Pt1,-119.238673
Pt1+,-118.901585
Pt1-,-119.305464
Au1,-135.674067
Au1+,-135.330449
Au1-,-135.748031
Hg1,-153.477907
Hg1+,-153.100516
Hg1-,-153.442404
Cu1S1+,-2038.44439
Hf1S1-,-446.245348
V1N1,-998.730577
Ag1C1,-184.844167
Au1N1-,-190.40738
Au1S1,-533.902621
Hf1S1+,-445.940291
V1O1,-1019.277036
Cd1N1-,-222.363412
Cd1O1+,-242.532519
Cd1S1+,-565.580101
Cu1C1,-1678.469754
Ir1N1+,-158.703118
Hg1N1,-208.091853
V1C1-,-981.981917
V1C1,-981.949311
V1S1,-1342.236135
Hg1C1+,-191.048365
W1C1,-104.98879
Ag1O1-,-222.145945
Ag1O1+,-221.759104
Ag1S1+,-544.820023
Co1S1,-1781.030422
Fe1N1,-1318.423933
Ir1O1,-179.511338
Au1O1-,-210.939563
Au1O1+,-210.502996
Cd1N1+,-222.032079
Hg1C1,-191.374109
W1N1,-121.779245
Co1N1-,-1437.520307
Cu1N1-,-1695.223459
Fe1S1+,-1661.672457
La1N1-,-86.304564
Ag1C1-,-184.908316
Co1S1-,-1781.065269
Fe1N1-,-1318.451916
Ir1O1-,-179.584693
Au1C1,-173.653366
Co1S1+,-1780.73063
Fe1N1+,-1318.132042
Ir1O1+,-179.172942
Au1N1+,-189.997139
Au1S1-,-533.98661
Au1S1+,-533.57672
Cd1C1+,-205.304554
Hg1C1-,-191.419032
W1O1,-142.291687
Co1C1-,-1420.798113
Cr1O1,-1119.735914
Cu1N1+,-1694.879382
Hf1N1,-102.67565
La1N1+,-86.056841
Ag1C1+,-184.539098
Co1C1,-1420.770088
Co1N1+,-1437.164081
