cluster,Predicted SM
La1Ru2Ni1S1O2-,2.4248593307845194
Hg1Re1Cu1Cr1S2O1+,4.699020213270559
Re2Ru1Co1S2O1C1+,3.5301712047522344
Ir1Hf1Nb2O4+,1.6031668766663425
W1La1Nb1Zr1O1N1+,1.7055845301380437
Ta2Co1Sc1S1N2-,2.5871246059612023
Rh2Y1Sc1O1C1+,1.7754475284811166
Ir1Ag1Nb1Ni1S3,2.146235379957947
Au1Pt1Ta1La1S1C2+,1.6817193424434231
Os1Ta2Hf1O2C1+,1.7016214192108248
V2Fe2,5.746235765457276
Ta1Hf1Nb1Y1S2C1+,1.688961094302233
Hf2Ni2O2C1-,2.3468818740100144
Ta1Nb1Zr1Ni1O1C2-,2.270199747368725
Ru1Nb1Ti2S2C1,1.608854317058579
Rh1Cu1Ti2S1+,1.6371392390361814
Nb2Zn1Fe1S2C1+,4.755511931975468
Ta1Ag3N2-,1.4106673147322693
Rh2Mn2C1,12.765628142781452
Ir2Co2S2,6.959568118336796
Cr1Ni2Ir1,5.53019479221052
W1Mn2V1O1N1C1,3.70854227646272
Ta2Tc1Nb1O4-,2.123750125287326
Nb1Fe3N3+,9.786493400437546
Hg1Ir1Cr2N2C1+,7.838821516340851
Y3Zr1+,2.4194280712472924
Pd1Ru2Co1N1C1-,7.538714916914604
Ir2Ti2S2O1+,2.01700374677862
Ta3Zr1O2C2+,1.6296985738007723
Ru1Y1Cu1Sc1S1,1.6843063377881269
Hf1Cd1Ag1Cu1S2N1C1-,1.6262731144572065
Hg2W1Co1S1N3-,3.293871319912282
Ag1Mn3N3+,11.600693313224252
Hf1Ag1Rh1Ni1O1N1C2+,1.7418435852376912
La1Zn1Mn2S1N2-,6.180033298948402
Zr1Y2Sc1S1O2-,2.268186857169779
Nb3Mn1O2C1+,3.655006527871343
La2Rh1Mo1S1O1N1,1.6737560717875877
Zn3V1O1,4.129677476577776
Au2Ta1Y1C4+,1.6206020968923434
Os3Ti1S2+,3.5665676245069644
Cr1Ti3S2C1+,2.31358708611793
Ir1Cu2Fe1S2O2,2.84405667272278
Ta1Nb1Y1Sc1C2,2.1188729044872194
Hg1W1Zr1V1S3+,1.5876635569352158
Os1Ta1Hf1Zr1S1O3+,1.597180571247147
Zr4O2N1C1+,1.8614428945184835
Re1La1Zr1Cu1O2,1.6043791225092945
Hg1Mo2Mn1O2C2,4.736626624914107
Hg1Tc1Zn1Cr1S1N1C2-,4.087455665795558
Ru1Nb1Mn1Ti1N1C1+,5.010013903837638
Hg1Ag1Mo1Zn1S2C2-,1.994595728901672
Re1Cd1Ru1Mo1S3O1+,2.9307462644180724
Au1Os1Ta1V1N1C3-,2.519473403607681
Pt1Hf1Ru1Y1O1N1C2-,1.583616300492441
W1La1Ni2O1N3-,2.476006195003552
W1Pd1Ru1Zr1S1N1C2-,1.6964804384401653
Cu2Fe2O1-,8.046679000147881
Re3Fe1N1C1,5.495352070215575
Pd2Ni2O3-,4.603723002774682
Os1Ta2V1O4+,1.8009536574973972
Os1Ta3O3N1-,2.377595659546708
Nb1Y1Cu1Ti1C2+,1.8965897009902228
W1Co3C1+,7.724090576288586
Rh1Zr1Fe2S1O3+,8.000689648100032
