cluster,Predicted SM
La1Ru2Ni1S1O2-,3
Hg1Re1Cu1Cr1S2O1+,4
Re2Ru1Co1S2O1C1+,4
Ir1Hf1Nb2O4+,2
W1La1Nb1Zr1O1N1+,1
Ta2Co1Sc1S1N2-,2
Rh2Y1Sc1O1C1+,2
Ir1Ag1Nb1Ni1S3,2
Au1Pt1Ta1La1S1C2+,1
Os1Ta2Hf1O2C1+,1
V2Fe2,6
Ta1Hf1Nb1Y1S2C1+,1
Hf2Ni2O2C1-,2
Ta1Nb1Zr1Ni1O1C2-,2
Ru1Nb1Ti2S2C1,2
Rh1Cu1Ti2S1+,1
Nb2Zn1Fe1S2C1+,5
Ta1Ag3N2-,1
Rh2Mn2C1,12
Ir2Co2S2,7
Cr1Ni2Ir1,6
W1Mn2V1O1N1C1,4
Ta2Tc1Nb1O4-,3
Nb1Fe3N3+,10
Hg1Ir1Cr2N2C1+,8
Y3Zr1+,3
Pd1Ru2Co1N1C1-,8
Ir2Ti2S2O1+,3
Ta3Zr1O2C2+,1
Ru1Y1Cu1Sc1S1,2
Hf1Cd1Ag1Cu1S2N1C1-,1
Hg2W1Co1S1N3-,4
Ag1Mn3N3+,11
Hf1Ag1Rh1Ni1O1N1C2+,2
La1Zn1Mn2S1N2-,7
Zr1Y2Sc1S1O2-,2
Nb3Mn1O2C1+,4
La2Rh1Mo1S1O1N1,1
Zn3V1O1,4
Au2Ta1Y1C4+,1
Os3Ti1S2+,4
Cr1Ti3S2C1+,2
Ir1Cu2Fe1S2O2,3
Ta1Nb1Y1Sc1C2,3
Hg1W1Zr1V1S3+,1
Os1Ta1Hf1Zr1S1O3+,1
Zr4O2N1C1+,1
Re1La1Zr1Cu1O2,2
Hg1Mo2Mn1O2C2,4
Hg1Tc1Zn1Cr1S1N1C2-,4
Ru1Nb1Mn1Ti1N1C1+,5
Hg1Ag1Mo1Zn1S2C2-,1
Re1Cd1Ru1Mo1S3O1+,3
Au1Os1Ta1V1N1C3-,2
Pt1Hf1Ru1Y1O1N1C2-,2
W1La1Ni2O1N3-,2
W1Pd1Ru1Zr1S1N1C2-,1
Cu2Fe2O1-,9
Re3Fe1N1C1,5
